battery,material type,material,mass in 1 cell,unit
LMO-G,cell,anode active material,0.09002279999999999,kg
LMO-G,cell,anode carbon,0.0,kg
LMO-G,cell,anode binder,0.0018372,kg
LMO-G,cell,anode current collector,0.04107501794935047,kg
LMO-G,cell,cathode active material,0.25967999999999997,kg
LMO-G,cell,cathode carbon,0.005409999999999998,kg
LMO-G,cell,cathode binder,0.005409999999999998,kg
LMO-G,cell,cathode current collector,0.0186361857996997,kg
LMO-G,cell,separator,0.003103731905945546,kg
LMO-G,cell,electrolyte,0.05532145990588746,kg
LMO-G,cell,negative terminal,0.020099780423235875,kg
LMO-G,cell,positive terminal,0.0060796604392234785,kg
LMO-G,cell,container,0.010659281293146316,kg
LMO-G,base,Cathode active material,0.25967999999999997,kg
LMO-G,base,Graphite,0.09002279999999999,kg
LMO-G,base,Silicon Nano-wire,0.0,kg
LMO-G,base,Carbon black - Anode,0.0,kg
LMO-G,base,Carbon black - Cathode,0.005409999999999998,kg
LMO-G,base,Binder SBR/CMC - Anode,0.0007348799999999999,kg
LMO-G,base,Binder SBR/CMC - Cathode,0.0021639999999999993,kg
LMO-G,base,Binder PVDF - Anode,0.00110232,kg
LMO-G,base,Binder PVDF - Cathode,0.0032459999999999985,kg
LMO-G,base,Copper - Foil,0.04107501794935047,kg
LMO-G,base,Copper - Tab,0.020099780423235875,kg
LMO-G,base,Aluminum - Foil,0.0186361857996997,kg
LMO-G,base,Aluminum - Tab,0.0060796604392234785,kg
LMO-G,base,Aluminum - Container,0.00870863281650054,kg
LMO-G,base,Electrolyte LiPF6,0.008298218985883118,kg
LMO-G,base,Electrolyte EC,0.023511620460002172,kg
LMO-G,base,Electrolyte DMC or EMC,0.023511620460002172,kg
LMO-G,base,Plastic PE - Separator,0.003103731905945546,kg
LMO-G,base,Plastic PP - Container,0.0005969197524161937,kg
LMO-G,base,Plastic PET - Container,0.0013537287242295821,kg
LMO-G,base,NMP - Anode,0.0,kg
LMO-G,base,NMP - Cathode,0.12983999999999998,kg
LMO-G,base,Water,0.044092799999999994,kg
LMO-G,base-scrap,Cathode active material,0.0030476406313233503,kg
LMO-G,base-scrap,Graphite,0.0010565201133144473,kg
LMO-G,base-scrap,Silicon Nano-wire,0.0,kg
LMO-G,base-scrap,Carbon black - Anode,0.0,kg
LMO-G,base-scrap,Carbon black - Cathode,6.349251315256979e-05,kg
LMO-G,base-scrap,Binder SBR/CMC - Anode,8.62465398624039e-06,kg
LMO-G,base-scrap,Binder SBR/CMC - Cathode,2.5397005261027915e-05,kg
LMO-G,base-scrap,Binder PVDF - Anode,1.2936980979360582e-05,kg
LMO-G,base-scrap,Binder PVDF - Cathode,3.809550789154187e-05,kg
LMO-G,base-scrap,Copper - Foil,0.0,kg
LMO-G,base-scrap,Copper - Tab,0.0,kg
LMO-G,base-scrap,Aluminum - Foil,0.0,kg
LMO-G,base-scrap,Aluminum - Tab,0.0,kg
LMO-G,base-scrap,Aluminum - Container,0.0,kg
LMO-G,base-scrap,Electrolyte LiPF6,0.0,kg
LMO-G,base-scrap,Electrolyte EC,0.0,kg
LMO-G,base-scrap,Electrolyte DMC or EMC,0.0,kg
LMO-G,base-scrap,Plastic PE - Separator,0.0,kg
LMO-G,base-scrap,Plastic PP - Container,0.0,kg
LMO-G,base-scrap,Plastic PET - Container,0.0,kg
LMO-G,base-scrap,NMP - Anode,0.0,kg
LMO-G,base-scrap,NMP - Cathode,0.0015238203156616751,kg
LMO-G,base-scrap,Water,0.0005174792391744233,kg
NMC811 G,cell,anode active material,0.10272359999999998,kg
NMC811 G,cell,anode carbon,0.0,kg
NMC811 G,cell,anode binder,0.0020964,kg
NMC811 G,cell,anode current collector,0.06726369185546527,kg
NMC811 G,cell,cathode active material,0.13922099999999996,kg
NMC811 G,cell,cathode carbon,0.007734499999999998,kg
NMC811 G,cell,cathode binder,0.007734499999999998,kg
NMC811 G,cell,cathode current collector,0.030518274162118067,kg
NMC811 G,cell,separator,0.006212083933813818,kg
NMC811 G,cell,electrolyte,0.0478812635627963,kg
NMC811 G,cell,negative terminal,0.01875979506168682,kg
NMC811 G,cell,positive terminal,0.005674349743275247,kg
NMC811 G,cell,container,0.009795978511014098,kg
NMC811 G,base,Cathode active material,0.13922099999999996,kg
NMC811 G,base,Graphite,0.10272359999999998,kg
NMC811 G,base,Silicon Nano-wire,0.0,kg
NMC811 G,base,Carbon black - Anode,0.0,kg
NMC811 G,base,Carbon black - Cathode,0.007734499999999998,kg
NMC811 G,base,Binder SBR/CMC - Anode,0.0008385599999999999,kg
NMC811 G,base,Binder SBR/CMC - Cathode,0.0030937999999999994,kg
NMC811 G,base,Binder PVDF - Anode,0.0012578399999999999,kg
NMC811 G,base,Binder PVDF - Cathode,0.0046406999999999985,kg
NMC811 G,base,Copper - Foil,0.06726369185546527,kg
NMC811 G,base,Copper - Tab,0.01875979506168682,kg
NMC811 G,base,Aluminum - Foil,0.030518274162118067,kg
NMC811 G,base,Aluminum - Tab,0.005674349743275247,kg
NMC811 G,base,Aluminum - Container,0.008003314443498517,kg
NMC811 G,base,Electrolyte LiPF6,0.007182189534419446,kg
NMC811 G,base,Electrolyte EC,0.02034953701418843,kg
NMC811 G,base,Electrolyte DMC or EMC,0.02034953701418843,kg
NMC811 G,base,Plastic PE - Separator,0.006212083933813818,kg
NMC811 G,base,Plastic PP - Container,0.0005485747966167895,kg
NMC811 G,base,Plastic PET - Container,0.0012440892708987905,kg
NMC811 G,base,NMP - Anode,0.0,kg
NMC811 G,base,NMP - Cathode,0.185628,kg
NMC811 G,base,Water,0.0503136,kg
NMC811 G,base-scrap,Cathode active material,0.001633917037636584,kg
NMC811 G,base-scrap,Graphite,0.0012055784702549573,kg
NMC811 G,base-scrap,Silicon Nano-wire,0.0,kg
NMC811 G,base-scrap,Carbon black - Anode,0.0,kg
NMC811 G,base-scrap,Carbon black - Cathode,9.0773168757588e-05,kg
NMC811 G,base-scrap,Binder SBR/CMC - Anode,9.841456900040467e-06,kg
NMC811 G,base-scrap,Binder SBR/CMC - Cathode,3.63092675030352e-05,kg
NMC811 G,base-scrap,Binder PVDF - Anode,1.4762185350060702e-05,kg
NMC811 G,base-scrap,Binder PVDF - Cathode,5.446390125455281e-05,kg
NMC811 G,base-scrap,Copper - Foil,0.0,kg
NMC811 G,base-scrap,Copper - Tab,0.0,kg
NMC811 G,base-scrap,Aluminum - Foil,0.0,kg
NMC811 G,base-scrap,Aluminum - Tab,0.0,kg
NMC811 G,base-scrap,Aluminum - Container,0.0,kg
NMC811 G,base-scrap,Electrolyte LiPF6,0.0,kg
NMC811 G,base-scrap,Electrolyte EC,0.0,kg
NMC811 G,base-scrap,Electrolyte DMC or EMC,0.0,kg
NMC811 G,base-scrap,Plastic PE - Separator,0.0,kg
NMC811 G,base-scrap,Plastic PP - Container,0.0,kg
NMC811 G,base-scrap,Plastic PET - Container,0.0,kg
NMC811 G,base-scrap,NMP - Anode,0.0,kg
NMC811 G,base-scrap,NMP - Cathode,0.0021785560501821123,kg
NMC811 G,base-scrap,Water,0.0005904874140024282,kg
LFP G,cell,anode active material,0.11796259999999997,kg
LFP G,cell,anode carbon,0.0,kg
LFP G,cell,anode binder,0.002407399999999999,kg
LFP G,cell,anode current collector,0.07552130697983263,kg
LFP G,cell,cathode active material,0.22595519999999994,kg
LFP G,cell,cathode carbon,0.004707399999999999,kg
LFP G,cell,cathode binder,0.004707399999999999,kg
LFP G,cell,cathode current collector,0.03426484464225474,kg
LFP G,cell,separator,0.005706580343824809,kg
LFP G,cell,electrolyte,0.08148215027353056,kg
LFP G,cell,negative terminal,0.02367307472070003,kg
LFP G,cell,positive terminal,0.007160488961752097,kg
LFP G,cell,container,0.013074285023896935,kg
LFP G,base,Cathode active material,0.22595519999999994,kg
LFP G,base,Graphite,0.11796259999999997,kg
LFP G,base,Silicon Nano-wire,0.0,kg
LFP G,base,Carbon black - Anode,0.0,kg
LFP G,base,Carbon black - Cathode,0.004707399999999999,kg
LFP G,base,Binder SBR/CMC - Anode,0.0009629599999999998,kg
LFP G,base,Binder SBR/CMC - Cathode,0.0018829599999999995,kg
LFP G,base,Binder PVDF - Anode,0.0014444399999999995,kg
LFP G,base,Binder PVDF - Cathode,0.0028244399999999992,kg
LFP G,base,Copper - Foil,0.07552130697983263,kg
LFP G,base,Copper - Tab,0.02367307472070003,kg
LFP G,base,Aluminum - Foil,0.03426484464225474,kg
LFP G,base,Aluminum - Tab,0.007160488961752097,kg
LFP G,base,Aluminum - Container,0.010681690864523795,kg
LFP G,base,Electrolyte LiPF6,0.012222322541029585,kg
LFP G,base,Electrolyte EC,0.034629913866250486,kg
LFP G,base,Electrolyte DMC or EMC,0.034629913866250486,kg
LFP G,base,Plastic PE - Separator,0.005706580343824809,kg
LFP G,base,Plastic PP - Container,0.0007321599613382283,kg
LFP G,base,Plastic PET - Container,0.0016604341980349106,kg
LFP G,base,NMP - Anode,0.0,kg
LFP G,base,NMP - Cathode,0.11297759999999997,kg
LFP G,base,Water,0.057777599999999985,kg
LFP G,base-scrap,Cathode active material,0.0026518416835289355,kg
LFP G,base-scrap,Graphite,0.001384425495750708,kg
LFP G,base-scrap,Silicon Nano-wire,0.0,kg
LFP G,base-scrap,Carbon black - Anode,0.0,kg
LFP G,base-scrap,Carbon black - Cathode,5.5246701740186135e-05,kg
LFP G,base-scrap,Binder SBR/CMC - Anode,1.1301432618373126e-05,kg
LFP G,base-scrap,Binder SBR/CMC - Cathode,2.209868069607446e-05,kg
LFP G,base-scrap,Binder PVDF - Anode,1.6952148927559686e-05,kg
LFP G,base-scrap,Binder PVDF - Cathode,3.314802104411168e-05,kg
LFP G,base-scrap,Copper - Foil,0.0,kg
LFP G,base-scrap,Copper - Tab,0.0,kg
LFP G,base-scrap,Aluminum - Foil,0.0,kg
LFP G,base-scrap,Aluminum - Tab,0.0,kg
LFP G,base-scrap,Aluminum - Container,0.0,kg
LFP G,base-scrap,Electrolyte LiPF6,0.0,kg
LFP G,base-scrap,Electrolyte EC,0.0,kg
LFP G,base-scrap,Electrolyte DMC or EMC,0.0,kg
LFP G,base-scrap,Plastic PE - Separator,0.0,kg
LFP G,base-scrap,Plastic PP - Container,0.0,kg
LFP G,base-scrap,Plastic PET - Container,0.0,kg
LFP G,base-scrap,NMP - Anode,0.0,kg
LFP G,base-scrap,NMP - Cathode,0.0013259208417644678,kg
LFP G,base-scrap,Water,0.0006780859571023876,kg
NCA G,cell,anode active material,0.10137119999999998,kg
NCA G,cell,anode carbon,0.0,kg
NCA G,cell,anode binder,0.0020688000000000004,kg
NCA G,cell,anode current collector,0.06893152696880668,kg
NCA G,cell,cathode active material,0.15047039999999998,kg
NCA G,cell,cathode carbon,0.0031347999999999997,kg
NCA G,cell,cathode binder,0.0031347999999999997,kg
NCA G,cell,cathode current collector,0.03127498923145342,kg
NCA G,cell,separator,0.005208639953424886,kg
NCA G,cell,electrolyte,0.04896129206421278,kg
NCA G,cell,negative terminal,0.0183131332745038,kg
NCA G,cell,positive terminal,0.005539246177959171,kg
NCA G,cell,container,0.00951613112598041,kg
NCA G,base,Cathode active material,0.15047039999999998,kg
NCA G,base,Graphite,0.10137119999999998,kg
NCA G,base,Silicon Nano-wire,0.0,kg
NCA G,base,Carbon black - Anode,0.0,kg
NCA G,base,Carbon black - Cathode,0.0031347999999999997,kg
NCA G,base,Binder SBR/CMC - Anode,0.0008275200000000001,kg
NCA G,base,Binder SBR/CMC - Cathode,0.00125392,kg
NCA G,base,Binder PVDF - Anode,0.0012412800000000002,kg
NCA G,base,Binder PVDF - Cathode,0.0018808799999999997,kg
NCA G,base,Copper - Foil,0.06893152696880668,kg
NCA G,base,Copper - Tab,0.0183131332745038,kg
NCA G,base,Aluminum - Foil,0.03127498923145342,kg
NCA G,base,Aluminum - Tab,0.005539246177959171,kg
NCA G,base,Aluminum - Container,0.007774679129925994,kg
NCA G,base,Electrolyte LiPF6,0.007344193809631916,kg
NCA G,base,Electrolyte EC,0.02080854912729043,kg
NCA G,base,Electrolyte DMC or EMC,0.02080854912729043,kg
NCA G,base,Plastic PE - Separator,0.005208639953424886,kg
NCA G,base,Plastic PP - Container,0.000532903343054903,kg
NCA G,base,Plastic PET - Container,0.0012085486529995121,kg
NCA G,base,NMP - Anode,0.0,kg
NCA G,base,NMP - Cathode,0.07523519999999999,kg
NCA G,base,Water,0.0496512,kg
NCA G,base-scrap,Cathode active material,0.001765941562120599,kg
NCA G,base-scrap,Graphite,0.0011897065155807365,kg
NCA G,base-scrap,Silicon Nano-wire,0.0,kg
NCA G,base-scrap,Carbon black - Anode,0.0,kg
NCA G,base-scrap,Carbon black - Cathode,3.679044921084581e-05,kg
NCA G,base-scrap,Binder SBR/CMC - Anode,9.711889923108055e-06,kg
NCA G,base-scrap,Binder SBR/CMC - Cathode,1.4716179684338324e-05,kg
NCA G,base-scrap,Binder PVDF - Anode,1.4567834884662082e-05,kg
NCA G,base-scrap,Binder PVDF - Cathode,2.2074269526507486e-05,kg
NCA G,base-scrap,Copper - Foil,0.0,kg
NCA G,base-scrap,Copper - Tab,0.0,kg
NCA G,base-scrap,Aluminum - Foil,0.0,kg
NCA G,base-scrap,Aluminum - Tab,0.0,kg
NCA G,base-scrap,Aluminum - Container,0.0,kg
NCA G,base-scrap,Electrolyte LiPF6,0.0,kg
NCA G,base-scrap,Electrolyte EC,0.0,kg
NCA G,base-scrap,Electrolyte DMC or EMC,0.0,kg
